iter	Passed	Remaining
876	1414	198
877	1415	196
878	1416	195
879	1417	193
880	1418	191
881	1420	190
882	1422	188
883	1423	186
884	1424	185
885	1425	183
886	1426	181
887	1427	180
888	1428	178
889	1429	176
890	1430	175
891	1431	173
892	1433	171
893	1434	170
894	1435	168
895	1437	166
896	1438	165
897	1439	163
898	1440	161
899	1441	160
900	1442	158
901	1443	156
902	1444	155
903	1445	153
904	1446	151
905	1448	150
906	1450	148
907	1452	147
908	1453	145
909	1454	143
910	1456	142
911	1457	140
912	1458	138
913	1459	137
914	1460	135
915	1461	134
916	1462	132
917	1464	130
918	1465	129
919	1466	127
920	1467	125
921	1468	124
922	1469	122
923	1470	120
924	1472	119
925	1473	117
926	1474	116
927	1475	114
928	1476	112
929	1477	111
930	1479	109
931	1480	108
932	1481	106
933	1482	104
934	1484	103
935	1485	101
936	1486	99
937	1487	98
938	1488	96
939	1489	95
940	1491	93
941	1492	91
942	1493	90
943	1494	88
944	1496	87
945	1497	85
946	1498	83
947	1499	82
948	1500	80
949	1501	79
950	1502	77
951	1503	75
952	1505	74
953	1506	72
954	1507	71
955	1508	69
956	1510	67
957	1511	66
958	1512	64
959	1513	63
960	1514	61
961	1515	59
962	1516	58
963	1517	56
964	1518	55
965	1519	53
966	1520	51
967	1522	50
968	1523	48
969	1524	47
970	1526	45
971	1527	43
972	1528	42
973	1529	40
974	1530	39
975	1531	37
976	1532	36
977	1533	34
978	1534	32
979	1536	31
980	1537	29
981	1538	28
982	1540	26
983	1541	25
984	1542	23
985	1543	21
986	1544	20
987	1545	18
988	1546	17
989	1548	15
990	1549	14
991	1550	12
992	1551	10
993	1552	9
994	1554	7
995	1555	6
996	1556	4
997	1557	3
998	1558	1
999	1559	0
